Participant,isSpeed,isCued,jitter,jitterLevel,cueDeflections,cueOrientation,targetOrientation,response,deviation,absoluteDeviation,RT,points
100,0,0,45,3,819,-999.0,0.10135,2.8078,-0.43518,0.43518,0.79204,95
100,0,0,15,1,819,-999.0,2.3456,2.3676,0.022048,0.022048,0.76228,176
100,0,0,30,2,819,-999.0,3.0268,2.2961,-0.73076,0.73076,1.7495,64
100,0,0,30,2,819,-999.0,2.4606,2.506,0.045427,0.045427,0.92531,166
100,0,0,30,2,819,-999.0,1.3511,1.4807,0.12967,0.12967,0.68294,143
100,0,0,45,3,819,-999.0,2.2278,2.0063,-0.22149,0.22149,0.69859,125
100,0,0,45,3,819,-999.0,1.9297,1.8772,-0.052538,0.052538,2.2989,163
100,0,0,30,2,819,-999.0,3.0473,2.9974,-0.049908,0.049908,1.0594,164
100,0,0,30,2,819,-999.0,0.7585,0.71647,-0.042035,0.042035,1.0111,167
100,0,0,45,3,819,-999.0,0.57191,2.6348,-1.0787,1.0787,0.68237,34
100,0,0,15,1,819,-999.0,3.0373,2.9835,-0.0538,0.0538,0.84342,163
100,0,0,15,1,819,-999.0,2.8575,2.847,-0.0105,0.0105,1.2653,184
100,0,0,30,2,819,-999.0,2.2319,1.9569,-0.275,0.275,1.0834,116
100,0,0,15,1,819,-999.0,1.6043,1.6463,0.041992,0.041992,0.9002,167
100,0,0,30,2,819,-999.0,0.40691,0.49052,0.083603,0.083603,0.97414,154
100,0,0,45,3,819,-999.0,1.32,1.241,-0.078977,0.078977,1.166,155
100,0,0,30,2,819,-999.0,0.30611,0.20858,-0.097529,0.097529,0.82511,150
100,0,0,30,2,819,-999.0,1.7341,1.8312,0.097143,0.097143,0.81511,150
100,0,0,15,1,819,-999.0,0.54702,0.47855,-0.068468,0.068468,0.71711,158
100,0,0,45,3,819,-999.0,2.7559,2.7758,0.019856,0.019856,0.93055,178
100,0,0,45,3,819,-999.0,0.34817,0.14014,-0.20803,0.20803,0.94921,127
100,0,0,45,3,819,-999.0,2.6105,1.7359,-0.87454,0.87454,1.6071,51
100,0,0,45,3,819,-999.0,0.84815,0.83896,-0.0091924,0.0091924,1.1798,185
100,0,0,15,1,819,-999.0,1.0563,1.0122,-0.0441,0.0441,0.85932,166
100,0,0,15,1,819,-999.0,2.0551,2.1845,0.12938,0.12938,0.84354,143
100,0,0,15,1,819,-999.0,2.9744,0.029597,0.19676,0.19676,0.88485,-194
100,0,0,30,2,819,-999.0,2.1094,2.0092,-0.10019,0.10019,0.83895,149
100,0,0,15,1,819,-999.0,0.79714,0.81056,0.013425,0.013425,0.92471,182
100,0,0,15,1,819,-999.0,0.87963,0.76012,-0.11951,0.11951,0.76782,145
100,0,0,15,1,819,-999.0,1.9762,1.9548,-0.02141,0.02141,0.83433,177
100,0,0,45,3,819,-999.0,1.8712,1.7109,-0.1603,0.1603,0.78513,136
100,0,0,30,2,819,-999.0,0.8339,0.71246,-0.12144,0.12144,0.7862,144
100,0,0,15,1,819,-999.0,0.95216,0.81935,-0.13281,0.13281,0.74393,142
100,0,0,45,3,819,-999.0,1.3663,1.7733,0.40701,0.40701,1.3683,98
100,0,0,15,1,819,-999.0,1.4976,1.4761,-0.021445,0.021445,0.85042,177
100,0,0,45,3,819,-999.0,0.58808,0.82987,0.24179,0.24179,1.0414,122
100,0,0,15,1,819,-999.0,1.1512,1.1784,0.027202,0.027202,0.83993,174
100,0,0,30,2,819,-999.0,0.040753,0.033137,-0.0076163,0.0076163,0.72283,186
100,0,0,15,1,819,-999.0,1.2534,1.3266,0.073258,0.073258,0.71671,157
100,0,0,15,1,819,-999.0,1.3788,1.1395,-0.23925,0.23925,0.72213,122
100,0,0,45,3,819,-999.0,0.076937,2.7112,-0.50735,0.50735,0.86203,86
100,0,0,45,3,819,-999.0,2.8178,2.9195,0.10172,0.10172,1.002,149
100,0,0,45,3,819,-999.0,2.9823,0.029024,0.1883,0.1883,1.4932,-194
100,0,0,45,3,819,-999.0,2.383,2.7193,0.33636,0.33636,0.96195,107
100,0,0,30,2,819,-999.0,0.93593,1.4472,0.51124,0.51124,1.2178,86
100,0,0,30,2,819,-999.0,1.6294,1.8468,0.21746,0.21746,0.95258,126
100,0,0,45,3,819,-999.0,1.1087,0.8093,-0.29944,0.29944,1.2346,113
100,0,0,30,2,819,-999.0,1.9391,2.2137,0.27461,0.27461,0.99877,116
100,0,0,30,2,819,-999.0,2.6168,2.4871,-0.12973,0.12973,1.9994,143
100,0,0,15,1,819,-999.0,3.1136,0.076264,0.10429,0.10429,1.8597,-197
100,0,0,30,2,819,-999.0,2.5228,2.2854,-0.23742,0.23742,1.4478,122
100,0,0,15,1,819,-999.0,0.16182,0.22753,0.065711,0.065711,1.0362,159
100,0,0,30,2,819,-999.0,1.4864,1.9026,0.41627,0.41627,1.5352,97
100,0,0,45,3,819,-999.0,2.9271,2.6218,-0.30539,0.30539,2.2114,112
100,0,0,15,1,819,-999.0,1.447,1.4751,0.028037,0.028037,1.6321,173
100,0,0,45,3,819,-999.0,0.21437,2.7809,-0.57504,0.57504,1.2626,79
100,0,0,30,2,819,-999.0,0.019904,3.1117,-0.049786,0.049786,1.7317,164
100,0,0,15,1,819,-999.0,2.0805,1.9519,-0.12858,0.12858,0.80619,143
100,0,0,45,3,819,-999.0,3.0809,2.5947,-0.48625,0.48625,0.72319,89
100,0,0,15,1,819,-999.0,3.0174,0.63884,0.76307,0.76307,0.43798,-175
100,0,0,15,1,819,-999.0,2.0065,2.0728,0.06628,0.06628,0.58089,159
